state,GOP,DEM,pollster,population,sample_size,start_date,end_date
US,49,45,AP/Ipsos,rv,804,7/5/2004,7/7/2004
US,44,49,CBS News,rv,462,7/6/2004,7/6/2004
US,43,47,IBD/TIPP,rv,800,7/6/2004,7/10/2004
US,44,49,IBD/TIPP,rv,800,7/6/2004,7/10/2004
US,41,49,NBC News,rv,504,7/6/2004,7/6/2004
US,43,54,NBC News,rv,504,7/6/2004,7/6/2004
US,45,49,Time,lv,774,7/6/2004,7/8/2004
US,45,47,Time,lv,774,7/6/2004,7/8/2004
US,44,46,Zogby,lv,1008,7/6/2004,7/7/2004
US,45,47,Zogby,lv,1008,7/6/2004,7/7/2004
US,45,50,CNN/USAT/Gallup,lv,706,7/8/2004,7/11/2004
US,46,50,CNN/USAT/Gallup,lv,706,7/8/2004,11/4/2004
US,44,47,Newsweek,rv,1001,7/8/2004,7/9/2004
US,45,51,Newsweek,rv,1001,7/8/2004,7/9/2004
US,44,46,Pew Research,rv,1568,7/8/2004,7/18/2004
US,46,46,Wash Post/ABC,rv,721,7/8/2004,7/11/2004
US,45,48,Dem Corps,lv,1010,7/10/2004,7/13/2004
US,46,51,Dem Corps,lv,1010,7/10/2004,7/13/2004
US,42,45,CBS/NYT,rv,823,7/11/2004,7/15/2004
US,44,49,CBS/NYT,rv,823,7/11/2004,7/15/2004
US,40,42,IBD/TIPP,rv,842,7/12/2004,7/17/2004
US,41,44,IBD/TIPP,rv,842,7/12/2004,7/17/2004
US,44,45,Marist,rv,938,7/12/2004,7/15/2004
US,44,46,LA Times,rv,1529,7/17/2004,7/21/2004
US,46,48,LA Times,rv,1529,7/17/2004,7/21/2004
US,46,47,NPR - POS/GQR,lv,800,7/18/2004,7/20/2004
US,43,46,Quinnipiac,rv,1551,7/18/2004,7/22/2004
US,43,44,Quinnipiac,rv,1551,7/18/2004,7/22/2004
US,46,47,CNN/USAT/Gallup,lv,709,7/19/2004,7/21/2004
US,47,49,CNN/USAT/Gallup,lv,709,7/19/2004,7/21/2004
US,42,44,IBD/TIPP,rv,883,7/19/2004,7/24/2004
