state,pollster,DEM,GOP,start_date,end_date,sample_size,population
US,USA Today/Gallup,45,50,1/10/2008,1/13/2008,1106,lv
US,Hotline/FD,41,39,1/10/2008,1/12/2008,803,rv
US,Hotline/FD,38,43,1/11/2007,1/14/2007,800,rv
WA,SurveyUSA,52,43,1/11/2008,1/13/2008,527,rv
OR,SurveyUSA,47,47,1/11/2008,1/13/2008,544,rv
MO,SurveyUSA,40,51,1/11/2008,1/13/2008,562,rv
US,ABC News/Wash Post,47,45,1/16/2007,1/19/2007,1000,a
US,Rasmussen,46,41,1/16/2008,1/17/2008,800,lv
US,Newsweek,46,44,1/17/2007,1/18/2007,1003,a
US,Rasmussen,47,44,1/17/2007,1/18/2007,800,lv
US,LA Times/Bloomberg,41,42,1/18/2008,1/22/2008,1312,rv
US,IBD/TIPP,36,48,1/2/2007,1/4/2007,951,a
MD,Rasmussen,48,42,1/2/2008,1/2/2008,500,lv
MN,Minn. Pub. Radio,50,37,1/20/2008,1/27/2008,917,a
US,NBC/WSJ,42,42,1/20/2008,1/22/2008,1008,a
NM,SurveyUSA,41,50,1/20/2008,1/21/2008,501,rv
NY,SurveyUSA,49,43,1/20/2008,1/21/2008,516,rv
WI,SurveyUSA,44,46,1/20/2008,1/21/2008,532,rv
MN,SurveyUSA,42,49,1/20/2008,1/21/2008,550,rv
MA,SurveyUSA,45,50,1/20/2008,1/21/2008,562,rv
US,Time,42,49,1/22/2007,1/23/2007,1064,rv
IL,Research 2000,58,37,1/22/2008,1/24/2008,800,lv
US,Newsweek,48,42,1/24/2007,1/25/2007,837,rv
US,Rasmussen,41,47,1/25/2008,1/27/2008,1200,lv
OK,Sooner Poll,30,58,1/27/2008,1/30/2008,757,lv
US,NPR,47,48,1/29/2008,1/31/2008,1000,lv
US,ABC News/Wash Post,49,46,1/30/2008,2/1/2008,1249,a
US,FOX News,44,43,1/30/2008,1/31/2008,900,rv
US,Cook/RT Strategies,45,43,1/31/2008,2/2/2008,855,rv
US,Rasmussen,43,46,1/4/2008,1/6/2008,800,lv
OH,SurveyUSA,43,50,1/4/2008,1/6/2008,535,rv
IA,SurveyUSA,55,38,1/4/2008,1/6/2008,543,rv
US,Battleground,39,51,1/8/2007,1/11/2007,500,lv
US,CNN,49,48,1/9/2008,1/10/2008,840,rv
FL,Quinnipiac,39,41,10/1/2007,10/8/2007,869,rv
PA,Quinnipiac,45,41,10/1/2007,10/8/2007,878,rv
OH,Quinnipiac,42,39,10/1/2007,10/8/2007,946,rv
US,Democracy Corps,48,45,10/1/2008,10/5/2008,1000,lv
US,Democracy Corps,49,46,10/1/2008,10/5/2008,1000,lv
MT,Rasmussen,44,52,10/1/2008,10/1/2008,500,lv
