state,DEM,GOP,pollster,population,sample_size,start_date,end_date
US,49,47,ABC News/Wash Post,lv,813,9/26/2012,9/29/2012
US,46,47,ABC News/Wash Post,rv,857,8/22/2012,8/25/2012
US,49,46,ABC News/Wash Post,rv,874,5/17/2012,5/20/2012
US,49,45,ABC News/Wash Post,a,1001,4/14/2011,4/17/2011
US,51,45,ABC News/Wash Post,rv,879,2/1/2012,2/4/2012
US,50,47,ABC News/Wash Post,lv,2345,11/1/2012,11/4/2012
US,49,46,ABC News/Wash Post,lv,923,10/10/2012,10/13/2012
US,49,48,ABC News/Wash Post,lv,710,9/7/2012,9/9/2012
NV,50,46,AFP/Magellan,lv,665,7/16/2012,7/17/2012
FL,47,50,AIF/McLaughlin,lv,600,9/9/2012,9/10/2012
FL,44,45,AIF/McLaughlin,lv,600,8/8/2011,8/9/2011
NM,45,40,Albuquerque Journal,lv,667,9/3/2012,9/6/2012
NM,50,41,Albuquerque Journal,lv,662,10/23/2012,10/25/2012
NM,49,39,Albuquerque Journal,lv,658,10/9/2012,10/11/2012
VA,49,47,ARG,lv,600,9/24/2012,9/27/2012
IA,51,44,ARG,lv,600,9/20/2012,9/23/2012
NV,51,44,ARG,lv,600,9/20/2012,9/23/2012
NH,49,46,ARG,lv,417,6/21/2012,6/24/2012
NH,48,41,ARG,rv,557,3/15/2012,3/18/2012
CO,46,50,ARG,lv,600,10/5/2012,10/8/2012
OH,47,48,ARG,lv,600,10/5/2012,10/8/2012
CO,47,48,ARG,lv,600,10/25/2012,10/28/2012
NH,47,49,ARG,lv,600,10/19/2012,10/22/2012
NV,49,47,ARG,lv,600,10/19/2012,10/22/2012
IA,48,48,ARG,lv,600,10/11/2012,10/14/2012
FL,46,49,ARG,lv,600,10/8/2012,10/11/2012
NC,46,50,ARG,lv,600,9/28/2012,9/30/2012
NH,50,45,ARG,lv,600,9/25/2012,9/27/2012
FL,50,45,ARG,lv,600,9/20/2012,9/22/2012
NH,48,47,ARG,lv,463,9/15/2012,9/17/2012
CO,49,47,ARG,lv,600,9/10/2012,9/12/2012
OH,48,47,ARG,lv,600,9/10/2012,9/12/2012
IA,48,49,ARG,lv,600,11/2/2012,11/4/2012
NH,49,49,ARG,lv,600,11/2/2012,11/4/2012
OH,49,47,ARG,lv,600,10/23/2012,10/25/2012
VA,47,48,ARG,lv,600,10/12/2012,10/14/2012
NH,46,50,ARG,lv,600,10/9/2012,10/11/2012
AZ,40,42,Arizona State,rv,488,4/10/2012,4/20/2012
US,47,46,Associated Press/GfK,lv,807,9/13/2012,9/17/2012
US,47,46,Associated Press/GfK,rv,885,8/16/2012,8/20/2012
US,47,44,Associated Press/GfK,rv,878,6/14/2012,6/18/2012
US,50,42,Associated Press/GfK,rv,871,5/3/2012,5/7/2012
US,51,43,Associated Press/GfK,a,1000,2/16/2012,2/20/2012
US,47,46,Associated Press/GfK,a,1000,12/8/2011,12/12/2011
US,45,47,Associated Press/GfK,lv,839,10/19/2012,10/23/2012
US,48,45,Associated Press/GfK,a,1000,10/13/2011,10/17/2011
GA,43,51,Atlanta Journal-Constitution,lv,706,10/8/2012,10/12/2012
MD,55,36,Baltimore Sun,lv,801,10/20/2012,10/23/2012
MD,57,34,Baltimore Sun,lv,804,9/25/2012,9/27/2012
TX,38,54,Baselice & Associates,lv,851,10/10/2012,10/14/2012
MI,46,44,Baydoun/Foster,lv,1156,9/12/2012,9/12/2012
MI,44,48,Baydoun/Foster,lv,1733,8/16/2012,8/16/2012
MI,47,46,Baydoun/Foster,lv,1783,6/12/2012,6/12/2012
MI,46,47,Baydoun/Foster,lv,1913,11/2/2012,11/2/2012
MI,49,46,Baydoun/Foster,lv,1122,10/5/2012,10/5/2012
MI,47,47,Baydoun/Foster,lv,1122,10/23/2012,10/23/2012
AZ,45,40,Behavior Research Center,rv,581,10/13/2011,10/24/2011
AZ,42,40,Behavior Research Center,rv,511,4/9/2012,4/17/2012
AZ,37,43,Behavior Research Center,rv,553,1/5/2012,1/9/2012
US,49,43,Bloomberg,lv,789,9/21/2012,9/24/2012
US,48,43,Bloomberg,a,997,9/9/2011,9/12/2011
US,53,40,Bloomberg,lv,734,6/15/2012,6/18/2012
US,47,47,Bloomberg,lv,746,3/8/2012,3/11/2012
NH,40,50,Bloomberg,lv,324,11/10/2011,11/11/2011
MA,57,30,Boston Globe,lv,502,9/21/2012,9/27/2012
MA,46,34,Boston Globe,lv,651,5/25/2012,5/31/2012
MA,49,33,Boston Globe,lv,544,3/21/2012,3/27/2012
MA,56,39,Boston Globe,lv,583,10/24/2012,10/28/2012
RI,58,32,Brown University,lv,471,9/26/2012,10/5/2012
OH,47,44,Caddell/McLaughlin/SAN,lv,600,9/13/2012,9/15/2012
FL,44,48,Caddell/McLaughlin/SAN,lv,600,9/11/2012,9/12/2012
VT,58,33,Castleton State College,rv,800,2/11/2012,2/22/2012
VT,62,25,Castleton State College,rv,477,8/11/2012,8/21/2012
VT,59,28,Castleton State College,rv,607,5/7/2012,5/16/2012
US,46,45,CBS News,rv,1051,8/22/2012,8/26/2012
US,45,47,CBS News,rv,1247,1/4/2012,1/8/2012
US,48,46,CBS News,lv,790,10/17/2012,10/20/2012
US,46,47,CBS/NYT/Quinnipiac,rv,942,7/11/2012,7/16/2012
US,48,42,CBS/NYT/Quinnipiac,rv,1604,2/8/2012,2/13/2012
US,49,46,CBS/NYT/Quinnipiac,lv,1162,9/8/2012,9/12/2012
US,46,46,CBS/NYT/Quinnipiac,rv,852,4/13/2012,4/17/2012
US,47,44,CBS/NYT/Quinnipiac,rv,878,3/7/2012,3/11/2012
US,45,45,CBS/NYT/Quinnipiac,rv,1021,1/12/2012,1/16/2012
US,48,47,CBS/NYT/Quinnipiac,lv,563,10/25/2012,10/28/2012
US,43,46,CBS/NYT/Quinnipiac,rv,562,5/11/2012,5/13/2012
OH,50,45,CBS/NYT/Quinnipiac,lv,1548,10/17/2012,10/20/2012
FL,53,44,CBS/NYT/Quinnipiac,lv,1162,9/18/2012,9/24/2012
OH,53,43,CBS/NYT/Quinnipiac,lv,1162,9/18/2012,9/24/2012
PA,54,42,CBS/NYT/Quinnipiac,lv,1162,9/18/2012,9/24/2012
CO,48,47,CBS/NYT/Quinnipiac,lv,1497,9/11/2012,9/17/2012
VA,50,46,CBS/NYT/Quinnipiac,lv,1474,9/11/2012,9/17/2012
WI,51,45,CBS/NYT/Quinnipiac,lv,1485,9/11/2012,9/17/2012
CO,45,50,CBS/NYT/Quinnipiac,lv,1463,7/31/2012,8/6/2012
VA,49,45,CBS/NYT/Quinnipiac,lv,1412,7/31/2012,8/6/2012
WI,51,45,CBS/NYT/Quinnipiac,lv,1428,7/31/2012,8/6/2012
FL,49,46,CBS/NYT/Quinnipiac,lv,1241,8/15/2012,8/21/2012
OH,50,44,CBS/NYT/Quinnipiac,lv,1253,8/15/2012,8/21/2012
WI,49,47,CBS/NYT/Quinnipiac,lv,1190,8/15/2012,8/21/2012
FL,51,45,CBS/NYT/Quinnipiac,lv,1177,7/24/2012,7/30/2012
OH,50,44,CBS/NYT/Quinnipiac,lv,1193,7/24/2012,7/30/2012
PA,53,42,CBS/NYT/Quinnipiac,lv,1168,7/24/2012,7/30/2012
CO,47,48,CBS/NYT/Quinnipiac,lv,1254,10/4/2012,10/9/2012
VA,51,46,CBS/NYT/Quinnipiac,lv,1288,10/4/2012,10/9/2012
WI,50,47,CBS/NYT/Quinnipiac,lv,1327,10/4/2012,10/9/2012
FL,48,47,CBS/NYT/Quinnipiac,lv,1073,10/23/2012,10/28/2012
OH,50,45,CBS/NYT/Quinnipiac,lv,1110,10/23/2012,10/28/2012
VA,49,47,CBS/NYT/Quinnipiac,lv,1074,10/23/2012,10/28/2012
IL,56,35,Chicago Tribune,rv,600,2/2/2012,2/6/2012
IL,55,36,Chicago Tribune,lv,700,10/4/2012,10/8/2012
OH,49,49,Cincinnati Enquirer/Ohio News,lv,1015,10/18/2012,10/23/2012
NC,39,50,Civitas,lv,600,9/22/2011,9/25/2011
NC,48,49,Civitas,lv,600,7/16/2012,7/18/2012
NC,39,48,Civitas,lv,300,1/9/2012,1/11/2012
NC,49,45,Civitas,lv,600,9/18/2012,9/19/2012
NC,45,47,Civitas,lv,600,5/19/2012,5/20/2012
NC,48,46,Civitas,rv,600,2/27/2012,2/28/2012
NC,47,48,Civitas,lv,600,10/20/2012,10/21/2012
LA,37,53,Clarus Research,lv,602,10/5/2012,10/7/2012
CO,50,48,CNN/Opinion Research,lv,764,10/26/2012,10/31/2012
MI,52,44,CNN/Opinion Research,lv,754,9/14/2012,9/18/2012
NV,49,46,CNN/Opinion Research,lv,741,9/14/2012,9/18/2012
US,48,48,CNN/Opinion Research,lv,735,8/31/2012,9/3/2012
US,49,46,CNN/Opinion Research,rv,1390,6/28/2012,7/1/2012
US,51,46,CNN/Opinion Research,rv,937,2/10/2012,2/13/2012
OH,51,47,CNN/Opinion Research,lv,722,10/5/2012,10/8/2012
US,45,50,CNN/Opinion Research,rv,921,10/27/2010,10/30/2010
FL,49,50,CNN/Opinion Research,lv,770,10/25/2012,10/28/2012
US,52,46,CNN/Opinion Research,lv,709,9/7/2012,9/9/2012
US,50,47,CNN/Opinion Research,lv,783,9/28/2012,9/30/2012
US,49,48,CNN/Opinion Research,rv,917,9/23/2011,9/25/2011
US,49,48,CNN/Opinion Research,rv,930,8/5/2011,8/7/2011
