,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
0,89142,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/30/24,10/31/24,,,,,,,215171,1373.0,lv,,lv,,10/31/24 15:43,,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,,,,9502,2024,Governor,0,,11/5/24,general,False,False,,False,DEM,Stein,30167,Joshua Harold Stein,51.5
1,89142,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/30/24,10/31/24,,,,,,,215171,1373.0,lv,,lv,,10/31/24 15:43,,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,,,,9502,2024,Governor,0,,11/5/24,general,False,False,,False,REP,Robinson,30168,Mark Keith Robinson,42.1
2,89173,1741,ActiVote,,,ActiVote,721,ActiVote,,,App Panel,8.0,North Carolina,10/17/24,10/31/24,,,,,,,215388,400.0,lv,,lv,,11/1/24 09:12,,https://www.activote.net/stein-extends-lead-again-in-north-carolina/,https://www.activote.net/stein-extends-lead-again-in-north-carolina/,,,,False,,9502,2024,Governor,0,,11/5/24,general,False,False,,False,DEM,Stein,30167,Joshua Harold Stein,57.6
3,89173,1741,ActiVote,,,ActiVote,721,ActiVote,,,App Panel,8.0,North Carolina,10/17/24,10/31/24,,,,,,,215388,400.0,lv,,lv,,11/1/24 09:12,,https://www.activote.net/stein-extends-lead-again-in-north-carolina/,https://www.activote.net/stein-extends-lead-again-in-north-carolina/,,,,False,,9502,2024,Governor,0,,11/5/24,general,False,False,,False,REP,Robinson,30168,Mark Keith Robinson,42.4
4,89112,446,St. Anselm,,,Saint Anselm College Survey Center,494,Saint Anselm College Survey Center,2.4,-0.5,Text-to-Web,6.0,New Hampshire,10/28/24,10/29/24,,,,,,,215005,2791.0,lv,,lv,,10/30/24 19:33,,https://www.anselm.edu/about/anselmian-hub/news/new-poll-saint-anselm-college-survey-center-shows-kamala-harris-holding-solid-lead-new-hampshire,https://www.anselm.edu/about/anselmian-hub/news/new-poll-saint-anselm-college-survey-center-shows-kamala-harris-holding-solid-lead-new-hampshire,https://projects.fivethirtyeight.com/polls/20241030_NH_StAnselm.pdf,,,,,9542,2024,Governor,0,,11/5/24,general,False,False,,False,DEM,Craig,31054,Joyce Craig,46.0
5,89112,446,St. Anselm,,,Saint Anselm College Survey Center,494,Saint Anselm College Survey Center,2.4,-0.5,Text-to-Web,6.0,New Hampshire,10/28/24,10/29/24,,,,,,,215005,2791.0,lv,,lv,,10/30/24 19:33,,https://www.anselm.edu/about/anselmian-hub/news/new-poll-saint-anselm-college-survey-center-shows-kamala-harris-holding-solid-lead-new-hampshire,https://www.anselm.edu/about/anselmian-hub/news/new-poll-saint-anselm-college-survey-center-shows-kamala-harris-holding-solid-lead-new-hampshire,https://projects.fivethirtyeight.com/polls/20241030_NH_StAnselm.pdf,,,,,9542,2024,Governor,0,,11/5/24,general,False,False,,False,REP,Ayotte,31055,Kelly Ayotte,49.0
6,89061,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/25/24,10/29/24,,,,,,,214778,1665.0,lv,,lv,,10/29/24 16:39,,https://www.atlasintel.org/poll/usa-swing-states-2024-10-29,https://www.atlasintel.org/poll/usa-swing-states-2024-10-29,,https://cdn.atlasintel.org/12bd169b-6db5-44be-9429-90f44ba0d845.pdf,,,,9502,2024,Governor,0,,11/5/24,general,False,False,,False,DEM,Stein,30167,Joshua Harold Stein,53.8
7,89061,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/25/24,10/29/24,,,,,,,214778,1665.0,lv,,lv,,10/29/24 16:39,,https://www.atlasintel.org/poll/usa-swing-states-2024-10-29,https://www.atlasintel.org/poll/usa-swing-states-2024-10-29,,https://cdn.atlasintel.org/12bd169b-6db5-44be-9429-90f44ba0d845.pdf,,,,9502,2024,Governor,0,,11/5/24,general,False,False,,False,REP,Robinson,30168,Mark Keith Robinson,39.2
8,89085,1741,ActiVote,,,ActiVote,721,ActiVote,,,App Panel,8.0,Washington,10/3/24,10/29/24,,,,,,,214824,400.0,lv,,lv,,10/30/24 09:22,,https://www.activote.net/ferguson-solidifies-lead-in-washington/,https://www.activote.net/ferguson-solidifies-lead-in-washington/,,,,False,,9546,2024,Governor,0,,11/5/24,general,False,False,,False,DEM,Ferguson,31118,Bob Ferguson,58.6
9,89085,1741,ActiVote,,,ActiVote,721,ActiVote,,,App Panel,8.0,Washington,10/3/24,10/29/24,,,,,,,214824,400.0,lv,,lv,,10/30/24 09:22,,https://www.activote.net/ferguson-solidifies-lead-in-washington/,https://www.activote.net/ferguson-solidifies-lead-in-washington/,,,,False,,9546,2024,Governor,0,,11/5/24,general,False,False,,False,REP,Reichert,31119,David G. Reichert,41.4
