,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
0,81762,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Georgia,12/3/22,12/5/22,,,,,,,165972,1099.0,lv,,lv,,12/6/22 08:58,,https://www.thetrafalgargroup.org/news/ga-sen-ro-1205/,https://www.thetrafalgargroup.org/news/ga-sen-ro-1205/,https://www.thetrafalgargroup.org/wp-content/uploads/2022/12/GA-Runoff-Poll-Report-1205.pdf,,,,REP,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,51.1
1,81762,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Georgia,12/3/22,12/5/22,,,,,,,165972,1099.0,lv,,lv,,12/6/22 08:58,,https://www.thetrafalgargroup.org/news/ga-sen-ro-1205/,https://www.thetrafalgargroup.org/news/ga-sen-ro-1205/,https://www.thetrafalgargroup.org/wp-content/uploads/2022/12/GA-Runoff-Poll-Report-1205.pdf,,,,REP,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,47.4
2,81760,1515,Data for Progress,,,Data for Progress,522,Data for Progress,2.6,-1.2,IVR/Live Phone/Online Panel/Text-to-Web,6.0,Georgia,12/1/22,12/5/22,,,,,,,165968,1229.0,lv,,lv,,12/5/22 20:44,,https://www.filesforprogress.org/datasets/2022/12/dfp_ga_runoff_tabs.pdf,,,https://www.filesforprogress.org/datasets/2022/12/dfp_ga_runoff_tabs.pdf,,False,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,51.0
3,81760,1515,Data for Progress,,,Data for Progress,522,Data for Progress,2.6,-1.2,IVR/Live Phone/Online Panel/Text-to-Web,6.0,Georgia,12/1/22,12/5/22,,,,,,,165968,1229.0,lv,,lv,,12/5/22 20:44,,https://www.filesforprogress.org/datasets/2022/12/dfp_ga_runoff_tabs.pdf,,,https://www.filesforprogress.org/datasets/2022/12/dfp_ga_runoff_tabs.pdf,,False,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,49.0
4,81759,235,InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,InsiderAdvantage,2.0,-0.3,Text,5.0,Georgia,12/4/22,12/4/22,,,,,,,165967,750.0,lv,,lv,,12/5/22 14:05,,https://insideradvantage.com/2022/12/05/breaking-insideradvantagefox-5-survey-warnock-holds-slim-lead-over-walker/,https://insideradvantage.com/2022/12/05/breaking-insideradvantagefox-5-survey-warnock-holds-slim-lead-over-walker/,,https://insideradvantage.com/wp-content/uploads/2022/12/Insider-Advantage-Georgia-runoff-poll-12.4.22.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,50.5
5,81759,235,InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,InsiderAdvantage,2.0,-0.3,Text,5.0,Georgia,12/4/22,12/4/22,,,,,,,165967,750.0,lv,,lv,,12/5/22 14:05,,https://insideradvantage.com/2022/12/05/breaking-insideradvantagefox-5-survey-warnock-holds-slim-lead-over-walker/,https://insideradvantage.com/2022/12/05/breaking-insideradvantagefox-5-survey-warnock-holds-slim-lead-over-walker/,,https://insideradvantage.com/wp-content/uploads/2022/12/Insider-Advantage-Georgia-runoff-poll-12.4.22.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,48.4
6,81761,317,Mitchell,,,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,5.0,Georgia,12/4/22,12/4/22,,,,,,,165971,625.0,lv,,lv,,12/6/22 08:58,,https://www.realclearpolitics.com/docs/2022/GA_US_Senate_Run-off_Press_Release-Field_Copy-Crosstabs_12-4-22_A.pdf,,,https://www.realclearpolitics.com/docs/2022/GA_US_Senate_Run-off_Press_Release-Field_Copy-Crosstabs_12-4-22_A.pdf,,False,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,50.0
7,81761,317,Mitchell,,,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,5.0,Georgia,12/4/22,12/4/22,,,,,,,165971,625.0,lv,,lv,,12/6/22 08:58,,https://www.realclearpolitics.com/docs/2022/GA_US_Senate_Run-off_Press_Release-Field_Copy-Crosstabs_12-4-22_A.pdf,,,https://www.realclearpolitics.com/docs/2022/GA_US_Senate_Run-off_Press_Release-Field_Copy-Crosstabs_12-4-22_A.pdf,,False,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,45.0
8,81764,262,Landmark Communications,,,Landmark Communications,166,Landmark Communications,2.1,-0.6,Live Phone/Online Panel,5.0,Georgia,12/4/22,12/4/22,,,,,,,165974,800.0,lv,,lv,,12/6/22 09:46,,https://landmarkcommunications.net/landmark-communications-senate-runoff-poll/,,,https://landmarkcommunications.net/landmark-communications-senate-runoff-poll/,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,52.2
9,81764,262,Landmark Communications,,,Landmark Communications,166,Landmark Communications,2.1,-0.6,Live Phone/Online Panel,5.0,Georgia,12/4/22,12/4/22,,,,,,,165974,800.0,lv,,lv,,12/6/22 09:46,,https://landmarkcommunications.net/landmark-communications-senate-runoff-poll/,,,https://landmarkcommunications.net/landmark-communications-senate-runoff-poll/,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,46.7
10,81754,1754,Patriot Polling,,,Patriot Polling,732,Patriot Polling,1.1,0.6,IVR,5.0,Georgia,11/30/22,12/2/22,,,,,,,165943,818.0,rv,,rv,,12/4/22 18:51,,https://patriotpolling.com/our-polls/f/warnock-leads-walker-by-17%25-in-georgia-senate-runoff,,,https://patriotpolling.com/our-polls/f/warnock-leads-walker-by-17%25-in-georgia-senate-runoff,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,48.7
11,81754,1754,Patriot Polling,,,Patriot Polling,732,Patriot Polling,1.1,0.6,IVR,5.0,Georgia,11/30/22,12/2/22,,,,,,,165943,818.0,rv,,rv,,12/4/22 18:51,,https://patriotpolling.com/our-polls/f/warnock-leads-walker-by-17%25-in-georgia-senate-runoff,,,https://patriotpolling.com/our-polls/f/warnock-leads-walker-by-17%25-in-georgia-senate-runoff,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,47.0
12,81734,1102,Emerson,"960,1945",The Hill | WJBF,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,6.0,Georgia,11/28/22,11/30/22,,,,,,,165846,888.0,lv,,lv,,12/1/22 09:16,,https://emersoncollegepolling.com/georgia-2022-warnock-holds-slight-edge-over-walker/,https://emersoncollegepolling.com/georgia-2022-warnock-holds-slight-edge-over-walker/,,,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,50.8
13,81734,1102,Emerson,"960,1945",The Hill | WJBF,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,6.0,Georgia,11/28/22,11/30/22,,,,,,,165846,888.0,lv,,lv,,12/1/22 09:16,,https://emersoncollegepolling.com/georgia-2022-warnock-holds-slight-edge-over-walker/,https://emersoncollegepolling.com/georgia-2022-warnock-holds-slight-edge-over-walker/,,,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,49.2
14,81740,460,SurveyUSA,147,WXIA-TV,SurveyUSA,325,SurveyUSA,2.8,-1.3,Online Panel,9.0,Georgia,11/26/22,11/30/22,,,,,,,165918,1214.0,lv,,lv,,12/1/22 22:16,,https://www.11alive.com/article/news/politics/georgia-senate-poll-raphael-warnock-herschel-walker-runoff/85-51f642ee-d4f5-4f36-9520-7715beb5ed86,https://www.11alive.com/article/news/politics/georgia-senate-poll-raphael-warnock-herschel-walker-runoff/85-51f642ee-d4f5-4f36-9520-7715beb5ed86,,https://www.surveyusa.com/client/PollReport.aspx?g=ec76271b-9c31-41b7-9c15-4d281bc48cd7,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,50.0
15,81740,460,SurveyUSA,147,WXIA-TV,SurveyUSA,325,SurveyUSA,2.8,-1.3,Online Panel,9.0,Georgia,11/26/22,11/30/22,,,,,,,165918,1214.0,lv,,lv,,12/1/22 22:16,,https://www.11alive.com/article/news/politics/georgia-senate-poll-raphael-warnock-herschel-walker-runoff/85-51f642ee-d4f5-4f36-9520-7715beb5ed86,https://www.11alive.com/article/news/politics/georgia-senate-poll-raphael-warnock-herschel-walker-runoff/85-51f642ee-d4f5-4f36-9520-7715beb5ed86,,https://www.surveyusa.com/client/PollReport.aspx?g=ec76271b-9c31-41b7-9c15-4d281bc48cd7,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,47.0
16,81741,1866,CNN/SSRS,,,CNN/SSRS,844,CNN,2.8,-0.6,Live Phone/Probability Panel,10.0,Georgia,11/25/22,11/29/22,,,,,,,165919,1886.0,rv,,rv,,12/2/22 09:14,,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,,https://s3.documentcloud.org/documents/23324148/cnn-poll-georgia-december-2022.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,51.0
17,81741,1866,CNN/SSRS,,,CNN/SSRS,844,CNN,2.8,-0.6,Live Phone/Probability Panel,10.0,Georgia,11/25/22,11/29/22,,,,,,,165919,1886.0,rv,,rv,,12/2/22 09:14,,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,,https://s3.documentcloud.org/documents/23324148/cnn-poll-georgia-december-2022.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,44.0
18,81741,1866,CNN/SSRS,,,CNN/SSRS,844,CNN,2.8,-0.6,Live Phone/Probability Panel,10.0,Georgia,11/25/22,11/29/22,,,,,,,165920,1184.0,lv,,lv,,12/2/22 09:14,,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,,https://s3.documentcloud.org/documents/23324148/cnn-poll-georgia-december-2022.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,52.0
19,81741,1866,CNN/SSRS,,,CNN/SSRS,844,CNN,2.8,-0.6,Live Phone/Probability Panel,10.0,Georgia,11/25/22,11/29/22,,,,,,,165920,1184.0,lv,,lv,,12/2/22 09:14,,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,https://www.cnn.com/2022/12/02/politics/cnn-poll-georgia-senate-runoff-election/index.html,,https://s3.documentcloud.org/documents/23324148/cnn-poll-georgia-december-2022.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,48.0
20,81756,1234,U. Massachusetts - Lowell,,,University of Massachusetts Lowell Center for Public Opinion,355,University of Massachusetts Lowell Center for Public Opinion,2.9,-1.0,Online Panel,8.0,Georgia,11/18/22,11/28/22,,,,,,,165956,1300.0,lv,,lv,,12/5/22 08:37,,https://www.uml.edu/docs/GA-runoff-topline_tcm18-359992.pdf,,https://www.uml.edu/docs/GA-runoff-topline_tcm18-359992.pdf,,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,51.0
21,81756,1234,U. Massachusetts - Lowell,,,University of Massachusetts Lowell Center for Public Opinion,355,University of Massachusetts Lowell Center for Public Opinion,2.9,-1.0,Online Panel,8.0,Georgia,11/18/22,11/28/22,,,,,,,165956,1300.0,lv,,lv,,12/5/22 08:37,,https://www.uml.edu/docs/GA-runoff-topline_tcm18-359992.pdf,,https://www.uml.edu/docs/GA-runoff-topline_tcm18-359992.pdf,,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,46.0
22,81717,1708,Phillips Academy,1781,Abbot Academy Fund,Phillips Academy,699,Phillips Academy,1.7,0.2,IVR/Text,9.0,Georgia,11/26/22,11/27/22,,,,,,,165779,862.0,lv,,lv,,11/28/22 09:16,,https://andoverpoll.com/2022/11/28/herschel-walker-up-by-1/,https://andoverpoll.com/2022/11/28/herschel-walker-up-by-1/,,https://andoverpoll.com/wp-content/uploads/2022/11/Georgia-November-Poll.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,47.3
23,81717,1708,Phillips Academy,1781,Abbot Academy Fund,Phillips Academy,699,Phillips Academy,1.7,0.2,IVR/Text,9.0,Georgia,11/26/22,11/27/22,,,,,,,165779,862.0,lv,,lv,,11/28/22 09:16,,https://andoverpoll.com/2022/11/28/herschel-walker-up-by-1/,https://andoverpoll.com/2022/11/28/herschel-walker-up-by-1/,,https://andoverpoll.com/wp-content/uploads/2022/11/Georgia-November-Poll.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,48.1
24,81719,165,Frederick Polls LLC,"1511,1512",COMPETE_ | AMM Political Strategies,Frederick Polls,108,Frederick Polls,1.6,-0.1,Text-to-Web,5.0,Georgia,11/23/22,11/26/22,,,,,,,165781,939.0,lv,,lv,,11/28/22 17:32,No polling on 11/24,https://competeeverywhere.com/2022/11/frederickpolls-and-compete-digital-release-ga-senate-run-off-poll-showing-50-50-race-with-warning-signs-for-warnock-campaign/,https://competeeverywhere.com/2022/11/frederickpolls-and-compete-digital-release-ga-senate-run-off-poll-showing-50-50-race-with-warning-signs-for-warnock-campaign/,https://competeeverywhere.com/wp-content/uploads/2022/11/GA-RUNOFF-TOPLINES-1.pdf,https://competeeverywhere.com/wp-content/uploads/2022/11/GA-A-REPORT-1.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,50.0
25,81719,165,Frederick Polls LLC,"1511,1512",COMPETE_ | AMM Political Strategies,Frederick Polls,108,Frederick Polls,1.6,-0.1,Text-to-Web,5.0,Georgia,11/23/22,11/26/22,,,,,,,165781,939.0,lv,,lv,,11/28/22 17:32,No polling on 11/24,https://competeeverywhere.com/2022/11/frederickpolls-and-compete-digital-release-ga-senate-run-off-poll-showing-50-50-race-with-warning-signs-for-warnock-campaign/,https://competeeverywhere.com/2022/11/frederickpolls-and-compete-digital-release-ga-senate-run-off-poll-showing-50-50-race-with-warning-signs-for-warnock-campaign/,https://competeeverywhere.com/wp-content/uploads/2022/11/GA-RUNOFF-TOPLINES-1.pdf,https://competeeverywhere.com/wp-content/uploads/2022/11/GA-A-REPORT-1.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,50.0
26,81698,1699,Fabrizio/Impact,42,AARP,"Fabrizio, Lee & Associates/Impact Research",694,Fabrizio Lee & Associates/Impact Research,1.7,-0.3,Live Phone/Text-to-Web,2.0,Georgia,11/11/22,11/17/22,,,,,,,165624,500.0,lv,,lv,,11/22/22 09:45,,https://states.aarp.org/georgia/new-aarp-georgia-poll-voters-50-may-tip-scales-in-runoff-election,https://states.aarp.org/georgia/new-aarp-georgia-poll-voters-50-may-tip-scales-in-runoff-election,,https://www.aarp.org/content/dam/aarp/research/surveys_statistics/politics/2022/aarp-georgia-2022-elections-senate-runoff-voter-survey.doi.10.26419-2Fres.00550.028.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,DEM,Warnock,19086,Raphael Warnock,51.0
27,81698,1699,Fabrizio/Impact,42,AARP,"Fabrizio, Lee & Associates/Impact Research",694,Fabrizio Lee & Associates/Impact Research,1.7,-0.3,Live Phone/Text-to-Web,2.0,Georgia,11/11/22,11/17/22,,,,,,,165624,500.0,lv,,lv,,11/22/22 09:45,,https://states.aarp.org/georgia/new-aarp-georgia-poll-voters-50-may-tip-scales-in-runoff-election,https://states.aarp.org/georgia/new-aarp-georgia-poll-voters-50-may-tip-scales-in-runoff-election,,https://www.aarp.org/content/dam/aarp/research/surveys_statistics/politics/2022/aarp-georgia-2022-elections-senate-runoff-voter-survey.doi.10.26419-2Fres.00550.028.pdf,,,,9552,2022,U.S. Senate,2,Class III,12/6/22,runoff,False,False,,REP,Walker,19088,Herschel Junior Walker,47.0
28,81629,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Arizona,11/5/22,11/7/22,,,,,,,165305,1094.0,lv,,lv,,11/7/22 22:26,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,,,REP,8919,2022,U.S. Senate,2,Class III,11/8/22,general,False,False,,DEM,Kelly,20633,Mark Kelly,46.7
29,81629,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Arizona,11/5/22,11/7/22,,,,,,,165305,1094.0,lv,,lv,,11/7/22 22:26,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,,,REP,8919,2022,U.S. Senate,2,Class III,11/8/22,general,False,False,,REP,Masters,28668,Blake Masters,48.2
30,81629,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Arizona,11/5/22,11/7/22,,,,,,,165305,1094.0,lv,,lv,,11/7/22 22:26,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,,,REP,8919,2022,U.S. Senate,2,Class III,11/8/22,general,False,False,,LIB,Victor,30075,Marc Victor,1.3
31,81775,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Nevada,11/5/22,11/7/22,,,,,,,166099,1089.0,lv,,lv,,12/7/22 13:25,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,,,REP,8937,2022,U.S. Senate,2,Class III,11/8/22,general,False,False,,DEM,Cortez Masto,28593,Catherine Cortez Masto,45.4
32,81775,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Nevada,11/5/22,11/7/22,,,,,,,166099,1089.0,lv,,lv,,12/7/22 13:25,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,,,REP,8937,2022,U.S. Senate,2,Class III,11/8/22,general,False,False,,REP,Laxalt,28594,Adam Paul Laxalt,50.3
